project_id	title	org	act_code	short	long	recipient

79832113		Germany	72040.01	EMERGENCY FOOD AID		Serbia

85124866		Germany	72010.01	EMERGENCY/OISTRESS RELIEF		

107818167	Promotion of self-help-organisations in Africa	Germany	16010.01	PROMOTION OF SELF-HELP-ORGANISATIONS IN AFRICA	Promotion of self-help-organisations in Africa	

107828772	preparatory activities for new projects	Germany	91010.01	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	Benin

107831917	Millennium Campaign	Germany	51010.03	MILLENNIUM CAMPAIGN	Millennium Campaign	

107831917	Millennium Campaign	Germany	51010.05	MILLENNIUM CAMPAIGN	Millennium Campaign	

98321687	Civilian peace-building, conflict prevention and resolution	Germany	15220.01	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Civilian peace-building, conflict prevention and resolution	Guatemala

108055990	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	

108056463	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	

108037966	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	

108047902	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	Indonesia

98354939	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Malawi

98343416	preparatory activities for new projects	Germany	91010.01	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	Kenya

98344559	Facilitating and coordinating ACK development implementing organs for effective advocacy and poverty	Germany	51010.03	FACILITATING AND COORDINATING ACK DEVELOPMENT IMPLEMENTING ORGANS FOR EFFECTIVE ADVOCACY AND POVERTY	Facilitating and coordinating ACK development implementing organs for effective advocacy and poverty	Kenya

98345023	Livestock/veterinary services	Germany	31191.05	LIVESTOCK/VETERINARY SERVICES	Livestock/veterinary services	Kenya

98351639	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Lesotho

98719176	Information on Politics, Economics, Environment, current Topics	Germany	15150.08	INFORMATION ON POLITICS, ECONOMICS, ENVIRONMENT, CURRENT TOPICS	Information on Politics, Economics, Environment, current Topics	Croatia

98423673	Socio-political cooperation program in South America	Germany	15150.02	SOCIO-POLITICAL COOPERATION PROGRAM IN SOUTH AMERICA	Socio-political cooperation program in South America	

98424051	Societal Policy Measures in South America	Germany	15150.01	SOCIETAL POLICY MEASURES IN SOUTH AMERICA	Societal Policy Measures in South America	

98425004	Strengthening workers rights and implementation of social standards in South East Asia	Germany	15150.07	STRENGTHENING WORKERS RIGHTS AND IMPLEMENTATION OF SOCIAL STANDARDS IN SOUTH EAST ASIA	Strengthening workers rights and implementation of social standards in South East Asia	

98425004	Strengthening workers rights and implementation of social standards in South East Asia	Germany	16020.01	STRENGTHENING WORKERS RIGHTS AND IMPLEMENTATION OF SOCIAL STANDARDS IN SOUTH EAST ASIA	Strengthening workers rights and implementation of social standards in South East Asia	

98431364	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Sudan

98392713	preparatory activities for new projects	Germany	91010.01	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	Peru

98393081	Civilian peace-building, conflict prevention and resolution	Germany	15220.01	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Civilian peace-building, conflict prevention and resolution	Peru

98396815	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Peru

98405951	Civilian peace-building, conflict prevention and resolution	Germany	15220.01	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Civilian peace-building, conflict prevention and resolution	Philippines

98412782	preparatory activities for new projects	Germany	91010.01	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	Serbia

98733881	Information on Politics, Economics, Environment, current Topics	Germany	15150.08	INFORMATION ON POLITICS, ECONOMICS, ENVIRONMENT, CURRENT TOPICS	Information on Politics, Economics, Environment, current Topics	

98734545	Information on Politics, Economics, Environment, current Topics	Germany	15150.08	INFORMATION ON POLITICS, ECONOMICS, ENVIRONMENT, CURRENT TOPICS	Information on Politics, Economics, Environment, current Topics	

98312812	Agricultural land resources	Germany	31130.01	AGRICULTURAL LAND RESOURCES	Agricultural land resources	Ethiopia

98378837	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Nicaragua

98380564	Civilian peace-building, conflict prevention and resolution	Germany	15220.01	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Civilian peace-building, conflict prevention and resolution	Niger

98440048	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Tanzania

98473211	preparatory activities for new projects	Germany	91010.01	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	Zambia

98480208	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	

98480250	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	

98480460	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	

98480542	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	

98480751	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	

98481010	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	Brazil

98481345	Equity Investment	Germany	99810.01	EQUITY INVESTMENT	Equity Investment	South Africa

98446468	preparatory activities for new projects	Germany	91010.01	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	Thailand

98235680	Food Aid	Germany	72040.01	FOOD AID	Food Aid	

98246923	Agricultural extension	Germany	31181.02	AGRICULTURAL EXTENSION	Agricultural extension	Benin

98248028	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Benin

98252202	International Agricultural Research	Germany	31182.01	INTERNATIONAL AGRICULTURAL RESEARCH	International Agricultural Research	

98256938	Rule of law program	Germany	15130.01	RULE OF LAW PROGRAM	Rule of law program	

98256938	Rule of law program	Germany	15130.03	RULE OF LAW PROGRAM	Rule of law program	

98277512	Agricultural co-operatives	Germany	31191.04	AGRICULTURAL CO-OPERATIVES	Agricultural co-operatives	Cambodia

98277554	Agricultural development	Germany	31120.01	AGRICULTURAL DEVELOPMENT	Agricultural development	Cambodia

98302475	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Ecuador

98302516	Government administration	Germany	15140.01	GOVERNMENT ADMINISTRATION	Government administration	Ecuador

98286389	preparatory activities for new projects	Germany	91010.01	PREPARATORY ACTIVITIES FOR NEW PROJECTS	preparatory activities for new projects	China

98262046	Agricultural co-operatives	Germany	31191.04	AGRICULTURAL CO-OPERATIVES	Agricultural co-operatives	Bolivia

98264186	Civilian peace-building, conflict prevention and resolution	Germany	15220.01	CIVILIAN PEACE-BUILDING, CONFLICT PREVENTION AND RESOLUTION	Civilian peace-building, conflict prevention and resolution	Bolivia

98269489	Forestry development	Germany	31220.01	FORESTRY DEVELOPMENT	Forestry development	Brazil

